from_district,to_district,distance_km_estimated
CHAMARAJNAGAR,HASSAN,151.43
CHAMARAJNAGAR,HAVERI,360.16
CHAMARAJNAGAR,KALABURAGI,601.48
CHAMARAJNAGAR,KODAGU,142.41
CHAMARAJNAGAR,KOLAR,186.55
CHAMARAJNAGAR,KOPPAL,390.64
CHAMARAJNAGAR,MANDYA,66.92
CHAMARAJNAGAR,MYSURU,53.11
CHAMARAJNAGAR,RAICHUR,479.0
CHAMARAJNAGAR,RAMANAGARA,95.63
CHAMARAJNAGAR,SHIVAMOGGA,268.46
CHAMARAJNAGAR,TUMAKURU,158.59
CHAMARAJNAGAR,UDUPI,286.25
CHAMARAJNAGAR,UTTAR KANNAD,441.82
CHAMARAJNAGAR,VIJAYAPURA,561.71
CHAMARAJNAGAR,YADGIR,539.04
CHAMARAJNAGAR,VIJAYANAGAR,376.94
CHIKBALLAPUR,BAGALKOT,375.55
CHIKBALLAPUR,BALLARI,208.61
CHIKBALLAPUR,BELAGAVI,439.41
CHIKBALLAPUR,BENGALURU (RURAL),26.48
CHIKBALLAPUR,BENGALURU (URBAN),53.67
CHIKBALLAPUR,BIDAR,498.1
CHIKBALLAPUR,CHAMARAJNAGAR,188.79
CHIKBALLAPUR,CHIKBALLAPUR,0.0
CHIKBALLAPUR,CHIKKAMAGALURU,212.39
CHIKBALLAPUR,CHITRADURGA,168.64
CHIKBALLAPUR,DAKSHIN KANNAD,316.67
CHIKBALLAPUR,DAVANGERE,226.34
CHIKBALLAPUR,DHARWAD,369.63
CHIKBALLAPUR,GADAG,317.62
CHIKBALLAPUR,HASSAN,182.88
CHIKBALLAPUR,HAVERI,292.92
CHIKBALLAPUR,KALABURAGI,443.9
CHIKBALLAPUR,KODAGU,243.53
CHIKBALLAPUR,KOLAR,54.44
CHIKBALLAPUR,KOPPAL,272.34
CHIKBALLAPUR,MANDYA,136.15
CHIKBALLAPUR,MYSURU,173.42
CHIKBALLAPUR,RAICHUR,311.53
CHIKBALLAPUR,RAMANAGARA,93.69
CHIKBALLAPUR,SHIVAMOGGA,240.11
CHIKBALLAPUR,TUMAKURU,67.32
CHIKBALLAPUR,UDUPI,323.54
CHIKBALLAPUR,UTTAR KANNAD,417.12
CHIKBALLAPUR,VIJAYAPURA,435.38
CHIKBALLAPUR,YADGIR,375.75
CHIKBALLAPUR,VIJAYANAGAR,249.83
CHIKKAMAGALURU,BAGALKOT,318.91
CHIKKAMAGALURU,BALLARI,237.59
CHIKKAMAGALURU,BELAGAVI,313.32
CHIKKAMAGALURU,BENGALURU (RURAL),209.79
CHIKKAMAGALURU,BENGALURU (URBAN),201.04
CHIKKAMAGALURU,BIDAR,544.06
CHIKKAMAGALURU,CHAMARAJNAGAR,200.47
CHIKKAMAGALURU,CHIKBALLAPUR,212.39
CHIKKAMAGALURU,CHIKKAMAGALURU,0.0
CHIKKAMAGALURU,CHITRADURGA,121.6
CHIKKAMAGALURU,DAKSHIN KANNAD,108.8
CHIKKAMAGALURU,DAVANGERE,128.7
CHIKKAMAGALURU,DHARWAD,252.08
CHIKKAMAGALURU,GADAG,235.62
CHIKKAMAGALURU,HASSAN,49.47
CHIKKAMAGALURU,HAVERI,169.05
CHIKKAMAGALURU,KALABURAGI,460.22
CHIKKAMAGALURU,KODAGU,99.23
CHIKKAMAGALURU,KOLAR,255.96
CHIKKAMAGALURU,KOPPAL,229.93
CHIKKAMAGALURU,MANDYA,150.39
CHIKKAMAGALURU,MYSURU,147.37
CHIKKAMAGALURU,RAICHUR,363.66
CHIKKAMAGALURU,RAMANAGARA,176.68
CHIKKAMAGALURU,SHIVAMOGGA,71.72
CHIKKAMAGALURU,TUMAKURU,145.58
CHIKKAMAGALURU,UDUPI,111.47
CHIKKAMAGALURU,UTTAR KANNAD,242.25
CHIKKAMAGALURU,VIJAYAPURA,390.81
CHIKKAMAGALURU,YADGIR,410.67
CHIKKAMAGALURU,VIJAYANAGAR,227.15
CHITRADURGA,BAGALKOT,230.26
CHITRADURGA,BALLARI,116.21
CHITRADURGA,BELAGAVI,272.53
CHITRADURGA,BENGALURU (RURAL),181.69
CHITRADURGA,BENGALURU (URBAN),190.14
CHITRADURGA,BIDAR,426.95
CHITRADURGA,CHAMARAJNAGAR,262.84
CHITRADURGA,CHIKBALLAPUR,168.64
CHITRADURGA,CHIKKAMAGALURU,121.6
CHITRADURGA,CHITRADURGA,0.0
CHITRADURGA,DAKSHIN KANNAD,221.43
CHITRADURGA,DAVANGERE,57.79
CHITRADURGA,DHARWAD,202.85
CHITRADURGA,GADAG,157.94
CHITRADURGA,HASSAN,139.23
CHITRADURGA,HAVERI,124.29
CHITRADURGA,KALABURAGI,348.16
CHITRADURGA,KODAGU,212.58
CHITRADURGA,KOLAR,222.84
CHITRADURGA,KOPPAL,127.83
CHITRADURGA,MANDYA,196.88
CHITRADURGA,MYSURU,216.11
CHITRADURGA,RAICHUR,243.13
CHITRADURGA,RAMANAGARA,193.14
CHITRADURGA,SHIVAMOGGA,95.34
CHITRADURGA,TUMAKURU,125.56
CHITRADURGA,UDUPI,204.07
CHITRADURGA,UTTAR KANNAD,252.53
CHITRADURGA,VIJAYAPURA,298.9
CHITRADURGA,YADGIR,293.43
CHITRADURGA,VIJAYANAGAR,116.07
DAKSHIN KANNAD,BAGALKOT,374.69
DAKSHIN KANNAD,BALLARI,332.97
DAKSHIN KANNAD,BELAGAVI,328.7
DAKSHIN KANNAD,BENGALURU (RURAL),310.39
DAKSHIN KANNAD,BENGALURU (URBAN),296.85
DAKSHIN KANNAD,BIDAR,624.6
DAKSHIN KANNAD,CHAMARAJNAGAR,252.09
